,portid,Score
82,4020204877254599680,0.5277583736758998
148,3768170840939476993,0.5131425890384784
130,3826087012661391104,0.4518758273972082
126,3999240873283311617,0.4372837260388399
35,3986814617275053313,0.36305773992925466
118,3907081197088384000,0.33824760739334525
85,4022641794255717633,0.3366561734484687
140,4039129759104249600,0.30471261593874727
128,3956048468100538880,0.30282923220643193
21,3891020560590657281,0.2978738339247422
146,4028701921959171840,0.2965795835981436
94,3944088772635000577,0.2928798135611656
22,3956076827719377409,0.2921600678897527
64,3960874214179953664,0.29091056485806466
81,3944658614777849089,0.29081513836214656
9,4029749871687083265,0.2868486014041271
60,3936410995029308417,0.2807451833214983
87,4022565861939831809,0.28036581610237676
40,4035430878731345664,0.28006427877123585
46,3977234346014419201,0.2796822579680533
