,portid,pnl,ROI,Sharpe_Ratio,Win_Rate,Total_Positions,MDD,Score,Rank
82,4020204877254599680,1.0,0.03126387402763818,0.18415875606401994,0.4104365369958005,0.9942348871685059,0.04426221902508154,0.5277583736758998,1.0
148,3768170840939476993,0.1492710982760538,0.9999999999999999,0.6669139646901037,0.5339705502454145,0.0,0.0,0.5131425890384784,2.0
130,3826087012661391104,0.15269733849011013,0.5578113160404483,1.0,0.7267932489451476,0.015483445890298136,0.00027757919546678167,0.4518758273972082,3.0
126,3999240873283311617,0.6511447681513157,0.04555949111610081,0.4056070087757899,0.6518959349229365,0.7425465326964256,0.0002911892181691744,0.4372837260388399,4.0
35,3986814617275053313,0.3400789741937344,0.06399096032084205,0.5414331496939553,0.9745889052500252,0.583099983528249,8.209668991288055e-07,0.36305773992925466,5.0
118,3907081197088384000,0.35997967701696665,0.07970969256360423,0.399264581256421,0.7649662705151455,0.6791302915499917,0.0013392101690254954,0.33824760739334525,6.0
85,4022641794255717633,0.1721906855677419,0.1233478715887679,0.8454726705842941,0.5422642104772502,0.9945643221874485,0.0030845660585127055,0.3366561734484687,7.0
140,4039129759104249600,0.16137156408460332,0.21467283776581747,0.7967428926080745,0.5527063590259554,0.019601383627079555,0.0,0.30471261593874727,8.0
128,3956048468100538880,0.162667135760933,0.0952632147381066,0.8004867967761853,0.889950917075691,0.002306045132597595,0.0,0.30282923220643193,9.0
21,3891020560590657281,0.18024643759397319,0.13311635644288355,0.6778027254358712,0.806861678135901,0.06967550650634162,0.0,0.2978738339247422,10.0
146,4028701921959171840,0.355064230616279,0.03639521635962696,0.4696396614855144,0.6764663302720899,0.11085488387415582,0.0002490701514898941,0.2965795835981436,11.0
94,3944088772635000577,0.23626826781803,0.05479383822871391,0.5007369360440422,0.5700500381915147,0.9963762147916323,7.218460902791435e-05,0.2928798135611656,12.0
22,3956076827719377409,0.34544440747200594,0.07419985406933881,0.23565730890653286,0.6423736624632654,0.642727721956844,0.0013570453430761242,0.2921600678897527,13.0
64,3960874214179953664,0.37837393887195964,0.025840480318314756,0.3198767301909438,0.6425065968448589,0.39153352001317737,0.19040645521339328,0.29091056485806466,14.0
81,3944658614777849089,0.17097682356603627,0.23367061445113077,0.6446212582103886,0.553747237291541,0.00510624279360896,0.0,0.29081513836214656,15.0
9,4029749871687083265,0.189800422332204,0.21520753802062714,0.5734247709736663,0.5341784827026752,0.1386921429747982,0.0,0.2868486014041271,16.0
60,3936410995029308417,0.27302210309845076,0.19676598796626008,0.5005279461481306,0.37377938517179016,0.000988305056827541,0.0,0.2807451833214983,17.0
87,4022565861939831809,0.31470851772222963,0.026154115126003345,0.5013495161014814,0.6574275710822975,0.11381979904463844,0.0006007225766183621,0.28036581610237676,18.0
40,4035430878731345664,0.17594804609990156,0.13265915075768264,0.7271529628967548,0.6019668000894,0.012353813210344258,0.0,0.28006427877123585,19.0
46,3977234346014419201,0.1751601254756388,0.27762636542877484,0.5081666386067416,0.49537026950478213,0.011365508153516717,0.0,0.2796822579680533,20.0
